user_id,new_session_id,repeat_session_id
152826,175252,NULL
152827,175253,NULL
152828,175254,NULL
152829,175256,NULL
152830,175257,NULL
152831,175258,NULL
152832,175259,NULL
152833,175260,NULL
152834,175261,NULL
152835,175262,NULL
152836,175263,NULL
152837,175264,199112
152838,175266,NULL
152839,175267,NULL
152840,175269,NULL
152841,175271,NULL
152842,175272,NULL
152843,175273,NULL
152844,175274,NULL
152845,175275,NULL
152846,175276,NULL
152847,175277,188581
152848,175278,204565
152849,175279,182067
152849,175279,192011
152849,175279,200819
152850,175281,NULL
152851,175282,185997
152852,175283,NULL
152853,175284,NULL
152854,175285,NULL
152855,175287,NULL
152856,175288,NULL
152857,175289,NULL
152858,175290,NULL
152859,175291,NULL
152860,175292,NULL
152861,175295,NULL
152862,175296,NULL
152863,175297,NULL
152864,175298,NULL
152865,175300,200538
152866,175301,NULL
152867,175302,NULL
152868,175304,NULL
152869,175306,NULL
152870,175307,NULL
152871,175308,NULL
152872,175309,NULL
152873,175310,NULL
152874,175311,NULL
152875,175313,NULL
152876,175314,NULL
152877,175315,NULL
152878,175316,190387
152879,175318,NULL
152880,175319,NULL
152881,175321,209408
152882,175322,NULL
152883,175325,NULL
152884,175326,NULL
152885,175327,NULL
152886,175328,NULL
152887,175329,NULL
152888,175331,NULL
152889,175332,NULL
152890,175333,192114
152890,175333,208336
152890,175333,214692
152891,175334,194826
152891,175334,201023
152891,175334,203147
152892,175335,NULL
152893,175338,NULL
152894,175340,NULL
152895,175341,NULL
152896,175342,NULL
152897,175343,NULL
152898,175344,179222
152899,175345,NULL
152900,175347,NULL
152901,175348,195709
152902,175350,NULL
152903,175351,NULL
152904,175352,NULL
152905,175353,NULL
152906,175354,NULL
152907,175355,NULL
152908,175356,NULL
152909,175357,NULL
152910,175358,NULL
152911,175359,191561
152912,175361,NULL
152913,175362,NULL
152914,175363,NULL
152915,175365,NULL
152916,175366,NULL
152917,175367,NULL
152918,175369,NULL
152919,175370,NULL
152920,175371,NULL
152921,175372,NULL
152922,175373,NULL
152923,175374,NULL
152924,175376,NULL
152925,175379,NULL
152926,175380,NULL
152927,175381,NULL
152928,175382,NULL
152929,175383,NULL
152930,175385,NULL
152931,175387,NULL
152932,175388,194578
152933,175389,NULL
152934,175390,NULL
152935,175391,NULL
152936,175392,NULL
152937,175393,NULL
152938,175394,NULL
152939,175396,NULL
152940,175397,NULL
152941,175398,NULL
152942,175399,NULL
152943,175400,NULL
152944,175401,NULL
152945,175402,NULL
152946,175403,NULL
152947,175406,NULL
152948,175407,NULL
152949,175409,208850
152950,175410,NULL
152951,175411,NULL
152952,175412,NULL
152953,175413,189890
152953,175413,191380
152953,175413,204927
152954,175415,NULL
152955,175416,NULL
152956,175418,NULL
152957,175419,182516
152958,175420,NULL
152959,175421,NULL
152960,175422,NULL
152961,175423,NULL
152962,175424,183499
152963,175425,NULL
152964,175427,NULL
152965,175428,NULL
152966,175429,NULL
152967,175430,NULL
152968,175431,NULL
152969,175432,NULL
152970,175433,NULL
152971,175434,NULL
152972,175435,NULL
152973,175436,196541
152973,175436,216152
152973,175436,222423
152974,175437,NULL
152975,175438,NULL
152976,175440,NULL
152977,175442,NULL
152978,175443,NULL
152979,175444,NULL
152980,175445,NULL
152981,175447,NULL
152982,175449,NULL
152983,175450,NULL
152984,175454,NULL
152985,175456,NULL
152986,175457,NULL
152987,175458,NULL
152988,175461,210139
152989,175462,NULL
152990,175463,NULL
152991,175464,NULL
152992,175468,NULL
152993,175470,208352
152993,175470,223463
152993,175470,234161
152994,175471,NULL
152995,175472,NULL
152996,175473,197948
152997,175474,NULL
152998,175477,207973
152999,175478,209307
153000,175480,NULL
153001,175481,NULL
153002,175482,NULL
153003,175483,204059
153004,175484,NULL
153005,175486,193228
153006,175487,210199
153006,175487,215118
153006,175487,227681
153007,175488,NULL
153008,175489,NULL
153009,175490,NULL
153010,175491,NULL
153011,175493,NULL
153012,175494,NULL
153013,175496,NULL
153014,175497,NULL
153015,175498,NULL
153016,175499,NULL
153017,175500,NULL
153018,175501,NULL
153019,175502,NULL
153020,175504,NULL
153021,175505,NULL
153022,175506,NULL
153023,175507,NULL
153024,175508,NULL
153025,175509,NULL
153026,175510,NULL
153027,175511,NULL
153028,175512,NULL
153029,175513,182403
153030,175514,NULL
153031,175515,193065
153032,175516,NULL
153033,175517,NULL
153034,175519,NULL
153035,175521,NULL
153036,175522,NULL
153037,175524,NULL
153038,175525,NULL
153039,175526,NULL
153040,175527,203717
153041,175528,181737
153042,175529,NULL
153043,175531,NULL
153044,175532,NULL
153045,175533,179739
153046,175534,NULL
153047,175536,NULL
153048,175537,NULL
153049,175538,NULL
153050,175539,NULL
153051,175540,NULL
153052,175541,NULL
153053,175542,NULL
153054,175545,NULL
153055,175547,NULL
153056,175548,NULL
153057,175549,NULL
153058,175550,NULL
153059,175551,182878
153060,175552,NULL
153061,175553,NULL
153062,175554,NULL
153063,175556,206105
153063,175556,224527
153063,175556,230508
153064,175557,NULL
153065,175558,NULL
153066,175559,NULL
153067,175562,178476
153068,175564,NULL
153069,175566,NULL
153070,175567,NULL
153071,175568,NULL
153072,175569,NULL
153073,175570,NULL
153074,175572,NULL
153075,175575,NULL
153076,175576,183322
153077,175577,NULL
153078,175578,NULL
153079,175579,NULL
153080,175580,189590
153081,175582,180831
153081,175582,186522
153081,175582,188329
153082,175584,NULL
153083,175585,NULL
153084,175586,NULL
153085,175587,NULL
153086,175589,NULL
153087,175590,NULL
153088,175591,NULL
153089,175593,NULL
153090,175595,NULL
153091,175596,NULL
153092,175597,NULL
153093,175598,NULL
153094,175600,NULL
153095,175601,NULL
153096,175602,NULL
153097,175603,NULL
153098,175604,NULL
153099,175605,NULL
153100,175607,NULL
153101,175608,NULL
153102,175609,NULL
153103,175612,NULL
153104,175614,NULL
153105,175615,NULL
153106,175617,NULL
153107,175618,NULL
153108,175619,196447
153108,175619,209121
153108,175619,217694
153109,175621,NULL
153110,175622,NULL
153111,175625,NULL
153112,175626,NULL
153113,175628,NULL
153114,175629,NULL
153115,175630,NULL
153116,175633,202328
153116,175633,203345
153116,175633,210419
153117,175634,NULL
153118,175636,NULL
153119,175637,NULL
153120,175638,NULL
153121,175639,NULL
153122,175640,NULL
153123,175641,NULL
153124,175643,NULL
153125,175644,NULL
153126,175645,NULL
153127,175646,209113
153127,175646,221860
153127,175646,231762
153128,175648,NULL
153129,175651,NULL
153130,175652,NULL
153131,175653,NULL
153132,175655,NULL
153133,175659,NULL
153134,175660,NULL
153135,175662,194898
153135,175662,202413
153135,175662,214166
153136,175665,NULL
153137,175666,NULL
153138,175667,NULL
153139,175668,NULL
153140,175669,NULL
153141,175670,NULL
153142,175671,NULL
153143,175672,191284
153144,175673,NULL
153145,175674,NULL
153146,175676,180031
153147,175677,NULL
153148,175679,200216
153149,175680,NULL
153150,175681,NULL
153151,175683,NULL
153152,175684,NULL
153153,175685,NULL
